Nombre,Fecha,Latitud,Longitud,Costo,Flyer,Categoría,,Numero,NombreC
La Corte de los Milagros,2018-04-03 19:00:00,22.775195,-102.5809887,Gratuito,fb0fde1c5cc654eee2081d0217bbf825b619296c,2,,,
María Inés Ochoa - La Rumorosa,2018-04-03 20:30:00,22.7760653,-102.5740353,Gratuito,9984c904b3ed0a68fd765277a95a443d4b758878,1,,,
Rotor Proyecto,2018-04-03 22:00:00,22.7740443,-102.5763689,Gratuito,8440a0cb3b6dc4203b270ac4f99d3d6785417a66,1,,,
Dúo Canto Mío,2018-04-04 18:00:00,22.7680109,-102.5611121,Gratuito,f82fea17e768e56dd90a53040ab437fb69f47c33,1,,,
Arturo Rocha,2018-04-04 18:00:00,22.7738039,-102.5766149,Gratuito,fc61bfbea1cba4d760a302bafebf913a1f4dc325,1,,,
Regina Orozco,2018-04-04 20:30:00,22.7760653,-102.5740353,Gratuito,38d7369efc51052b3076acbee9818dd87d15cf97,1,,,
Klezmerson,2018-04-04 22:00:00,22.7740443,-102.5763689,Gratuito,5f4ed99bbe266bf1d86d6849301839060885be12,1,,,
Sofía & Marcelo,2018-04-05 18:00:00,22.7738039,-102.5766149,Gratuito,c1e65407feaec40803d7cdd5ce8407ed1f4c8303,1,,,
Artefacto Live,2018-04-05 19:00:00,22.7760653,-102.5740353,Gratuito,e39541f56766d7e287332243a63a98e6dcf466e6,1,,,
Laboratorio escénico Le Mat,2018-04-05 19:00:00,22.775195,-102.5809887,Gratuito,0f39f22699603457d4ec8c7b6468c157dfbacb8c,2,,,
AÑO MÉXICO COLOMBIA 2017-2018,2018-04-05 20:00:00,22.7751717,-102.5751953,Gratuito,7c3a98460fbbe3cc836f118031cc0263b9df4a9a,2,,,
Carla Borghetti & Compañia de Tango Nómada,2018-04-05 22:00:00,22.7740443,-102.5763689,Gratuito,8ffc349ef7504dab9f0ad6deee524def53da7234,1,,,
Rodrigo Escalante,2018-04-06 18:00:00,22.7738039,-102.5766149,Gratuito,ca7848ff54b1722b587eb69af47ae1d4c9709d5f,1,,,
Rani,2018-04-06 19:00:00,22.7760653,-102.5740353,Gratuito,39a4dc5175f98350d0cebaee04781385a3e2cd6b,1,,,
Grupo MoMo,2018-04-06 19:00:00,22.775195,-102.5809887,Gratuito,9b26b8d457103ac36f28bd36617e3ebc7eab602a,2,,,
Natalia Lafourcade,2018-04-06 20:30:00,22.7760653,-102.5740353,Gratuito,697bffb1c8fbf3b0898dfcde783fbb9c4964e67a,1,,,
Fanko,2018-04-06 22:00:00,22.7740443,-102.5763689,Gratuito,5074cd1a0dafa82015d393bb1bf9e2eafc2dd18d,1,,,
La Ciénega Teatro,2018-04-07 19:00:00,22.775195,-102.5809887,Gratuito,ca9f856c274e88a2ea301dee21c26ac83c281d35,2,,,
Los Daniels,2018-04-07 19:00:00,22.7760653,-102.5740353,Gratuito,5e262f3e394ee5c042308a0bce3b4a0a1081afda,1,,,
A Shelter In The Desert,2018-04-07 22:00:00,22.7740443,-102.5763689,Gratuito,10887db32184c94a2263a4b081d488f4a44ea20a,1,,,
